Ship name,IMO Number,Flag,Gross tonnage,Type of ship,Date,Time,Area,Latitude,Longitude,Place,Label
PYXIS THETA,9657064.0,Malta,30159.0,Product tanker,2020-03-26,08:30,West Africa,5° 59.80' N,2° 21.20' E,In international waters,1
UAL LOBITO,9265653.0,Netherlands,3153.0,General cargo ship,2020-03-04,03:45,West Africa,4° 54.10' N,1° 41.70' W,In port area,1
CHEM RANGER,9490296.0,Marshall Islands,16411.0,Chemical tanker,2020-04-29,21:15,Malacca Strait,1° 16.70' N,104° 16.90' E,In territorial waters,1
SEAMAX DARIEN,9243394.0,"Hong Kong, China",89097.0,Container ship,2020-04-26,23:00,Persian Gulf,30° 03.16' N,47° 56.13' E,In port area,1
HORIZON II,9537563.0,Panama,63993.0,Bulk carrier,2020-04-22,23:09,Malacca Strait,1° 15.11' N,104° 04.83' E,In territorial waters,1
SEAFROST,8517061.0,Palau,11013.0,Tanker,2020-04-18,23:54,Arabian Sea,21° 25.90' N,72° 19.79' E,In port area,1
ARAFURA,9728708.0,Belgium,154163.0,Oil tanker,2020-04-16,08:00,South China Sea,2° 29.50' N,105° 05.80' E,In international waters,1
MASAGANA,9404895.0,Bermuda (United Kingdom),8627.0,Chemical tanker,2020-04-19,18:45,South China Sea,10° 21.00' N,107° 02.00' E,In port area,1
TELFORD 28,8769638.0,Gibraltar (United Kingdom),13062.0,Barge carrier,2020-04-15,03:30,South America (C),18° 51.94' N,91° 52.56' W,In territorial waters,1
REMAS,9586459.0,Italy,2600.0,Supply ship,2020-04-10,03:37,South America (C),18° 36.75' N,93° 19.39' W,In international waters,1
PALAIS,9646649.0,Marshall Islands,41605.0,Bulk carrier,2020-04-15,17:00,Malacca Strait,1° 14.70' N,104° 02.00' E,In territorial waters,1
NYK JOANNA,9387449.0,Singapore,27003.0,Container ship,2020-04-13,19:10,South China Sea,14° 36.06' N,120° 52.16' E,In port area,1
FOUMA,9395082.0,Cyprus,15375.0,Container ship,2020-04-09,03:30,South America (P),2° 34.05' S,80° 06.68' W,In territorial waters,1
LEYLA K,9430313.0,Marshall Islands,63304.0,Tanker,2020-04-11,10:30,Malacca Strait,1° 42.50' N,104° 28.70' E,In international waters,1
SAPURA 3500,9651204.0,Panama,40845.0,Special purpose ship,2020-04-04,02:06,South America (C),18° 37.50' N,93° 19.70' W,In territorial waters,1
NAASHI,8762898.0,Panama,2910.0,Barge carrier,2020-03-25,20:20,Arabian Sea,21° 24.10' N,72° 20.20' E,In port area,1
LANA,9484522.0,Liberia,42112.0,Container ship,2020-03-27,17:00,West Africa,2° 45.60' N,6° 54.90' E,In international waters,1
AU LIBRA,9236339.0,Panama,7092.0,Product tanker,2020-03-22,18:55,South China Sea,13° 45.11' N,121° 02.21' E,In port area,1
ARCHON,9724611.0,Liberia,29770.0,Product tanker,2020-03-19,00:45,West Africa,6° 18.79' N,3° 21.30' E,In port area,1
TRINIDAD TRADER,9675808.0,Singapore,9932.0,Container ship,2020-03-08,20:40,South America (C),18° 34.20' N,72° 24.20' W,In port area,1
KOTA ANGGERIK,9175597.0,Singapore,17652.0,Container ship,2020-03-13,20:10,Malacca Strait,3° 55.50' N,98° 46.30' E,In port area,1
SAM JAGUAR,9637428.0,Liberia,31760.0,Bulk carrier,2020-03-15,20:30,Malacca Strait,1° 10.90' N,103° 26.00' E,In territorial waters,1
STAR SPIRIT,9765847.0,Panama,17164.0,Refrigerated cargo carrier,2020-03-13,08:15,South America (P),12° 01.60' S,77° 16.40' W,In port area,1
ENDEAVOUR II,9835056.0,Singapore,29671.0,Product tanker,2020-03-11,21:00,South China Sea,6° 04.94' N,125° 11.96' E,In port area,1
INGRID K,9444132.0,Marshall Islands,1731.0,Supply ship,2020-03-07,01:50,West Africa,5° 16.00' N,4° 02.20' W,In port area,1
TRF KAYA,9330549.0,Liberia,28616.0,Container ship,2019-03-27,04:30,South China Sea,14° 33.18' N,120° 54.13' E,In port area,1
TRF KAYA,9330549.0,Liberia,28616.0,Container ship,2019-03-27,04:30,South China Sea,14° 33.18' N,120° 54.13' E,In port area,1
NAKHAL SILVER,9718765.0,Marshall Islands,29354.0,Product tanker,2019-03-26,20:30,South China Sea,13° 44.00' N,121° 02.01' E,In port area,1
Minerva Virgo,9307827.0,Greece,28960.0,Product tanker,2020-03-05,12:46,West Africa,5° 36.09' N,2° 20.37' E,In international waters,1
PACIFIC GOSLING,9666900.0,Singapore,3585.0,Supply ship,2020-02-26,00:56,West Africa,8° 45.00' S,13° 16.00' E,In port area,1
WESTERN SEATTLE,9660619.0,Philippines,32350.0,Bulk carrier,2020-02-28,00:45,Malacca Strait,1° 08.60' N,103° 28.68' E,In territorial waters,1
MALAVIYA TEN,9202596.0,India,2180.0,Supply ship,2020-02-28,04:00,Indian Ocean,16° 58.08' N,82° 18.91' E,In port area,1
TERAS CAESAR,9625982.0,Singapore,883.0,Tug,2020-02-28,08:30,Indian Ocean,21° 27.50' N,91° 44.00' E,In territorial waters,1
GLOBAL TOMORROW,9495947.0,Panama,29847.0,Bulk carrier,2020-03-01,05:40,South America (P),12° 01.80' S,77° 12.30' W,In port area,1
AL BARRAH,9332030.0,Saudi Arabia,23999.0,LPG tanker,2020-02-19,18:30,Indian Ocean,17° 03.50' N,82° 24.60' E,In port area,1
IVER AMBASSADOR,9768514.0,Marshall Islands,7009.0,Tanker,2020-02-25,07:07,South America (C),18° 34.00' N,72° 32.20' W,In port area,1
SEA EMPEROR,9383601.0,Marshall Islands,8503.0,Product tanker,2020-02-27,08:24,West Africa,8° 10.40' S,12° 41.60' E,In territorial waters,1
MORBIUS,9165762.0,Comoros,58141.0,Chemical tanker,2020-02-19,07:20,Arabian Sea,20° 36.40' N,70° 03.96' E,In territorial waters,1
MAERSK TEMA,9698264.0,Marshall Islands,51872.0,Container ship,2020-02-14,07:59,West Africa,1° 33.00' N,5° 19.00' E,In international waters,1
SANCO SEA,9204295.0,Gibraltar (United Kingdom),1129.0,Tug,2020-02-15,03:00,West Africa,8° 43.40' S,13° 17.50' E,In port area,1
BW PARIS,9368302.0,Singapore,103670.0,Gas carrier - LNG,2020-02-10,10:15,Arabian Sea,16° 24.00' N,55° 29.00' E,In international waters,1
SUNG FATT 27,8790871.0,Malaysia,139.0,Tug,2020-02-07,12:00,Malacca Strait,1° 03.37' N,103° 34.87' E,In territorial waters,1
EVIMERIA,9366653.0,Niue,3665.0,Supply ship,2020-02-11,05:30,Indian Ocean,16° 58.00' N,82° 18.00' E,In port area,1
ASL AMBER,9430301.0,Singapore,977.0,Tug,2020-02-07,19:10,Indian Ocean,21° 41.72' N,91° 50.34' E,In port area,1
NEW SPIRIT,9425801.0,Marshall Islands,32287.0,Bulk carrier,2020-02-09,02:22,Malacca Strait,1° 15.72' N,104° 08.47' E,In territorial waters,1
SWARNA JAYANTI,9467720.0,India,57702.0,Tanker,2020-02-08,18:30,Malacca Strait,1° 15.67' N,104° 10.28' E,In territorial waters,1
ATLANTIC DISCOVERER,9243590.0,Marshall Islands,30024.0,Container ship,2020-01-19,20:10,West Africa,5° 08.30' N,2° 17.90' E,In territorial waters,1
PALAWAN STAR,9401233.0,Marshall Islands,42010.0,Tanker,2020-02-01,01:30,West Africa,6° 15.70' N,3° 19.10' E,In port area,1
COSCO SAO PAULO,9484388.0,"Hong Kong, China",40465.0,Container ship,2020-01-29,03:35,South China Sea,14° 32.90' N,120° 54.70' E,In port area,1
POSH KITTIWAKE,9617765.0,Panama,2899.0,Supply ship,2020-01-29,03:00,West Africa,4° 41.20' N,7° 09.39' E,In port area,1
MINERVA MEDITERRANEA,9367671.0,Malta,26897.0,Product tanker,2020-01-28,08:18,South America (P),12° 00.15' S,77° 10.59' W,In port area,1
HORIZON MARU,9048017.0,Indonesia,760.0,Product tanker,2020-01-21,03:44,Malacca Strait,1° 04.15' N,104° 09.02' E,In port area,1
AS CLARITA,9300972.0,MAR (Portugal),32968.0,Container ship,2020-01-25,04:15,South China Sea,14° 32.68' N,120° 55.27' E,In port area,1
PAPORA WISDOM,9508718.0,Panama,17025.0,Bulk carrier,2020-01-28,02:05,Malacca Strait,1° 15.43' N,104° 06.77' E,In territorial waters,1
FORTUNATO,9347736.0,Panama,7732.0,LPG tanker,2020-01-19,05:00,South America (C),10° 19.02' N,75° 31.41' W,In territorial waters,1
NORD STINGRAY,9419735.0,DIS (Denmark),30010.0,Product tanker,2020-01-25,00:50,West Africa,6° 16.91' N,3° 19.53' E,In port area,1
FSL LONDON,9340465.0,Singapore,11587.0,Chemical tanker,2020-01-26,03:24,Malacca Strait,3° 56.49' N,98° 45.24' E,In port area,1
RHL CLARITA,9358864.0,Liberia,32486.0,Bulk carrier,2020-01-22,00:00,South China Sea,3° 42.60' S,114° 25.20' E,In port area,1
MSC GRACE,8918057.0,Panama,13258.0,Container ship,2020-01-21,08:35,West Africa,4° 05.26' N,5° 44.52' E,In international waters,1
KOWLOON BAY,9280861.0,Liberia,53453.0,Container ship,2019-12-23,15:23,South China Sea,14° 35.40' N,120° 56.40' E,In port area,1
KIM HOCK TUG 9,9767120.0,Singapore,299.0,Tug,2020-01-18,15:51,Malacca Strait,1° 15.35' N,104° 03.24' E,In territorial waters,1
KIM HOCK TUG 9,9767120.0,Singapore,299.0,Tug,2020-01-18,11:29,Malacca Strait,1° 11.73' S,103° 52.72' E,In territorial waters,1
LAGERTHA,9410143.0,Malta,12619.0,Product tanker,2020-01-16,20:57,West Africa,3° 38.00' N,6° 40.20' E,In international waters,1
FEDERAL BRISTOL,9697844.0,Marshall Islands,20789.0,Bulk carrier,2020-01-13,01:30,Indian Ocean,5° 30.00' S,105° 17.00' E,In port area,1
NORDIC WISMAR,9539482.0,Liberia,39753.0,Container ship,2020-01-13,00:04,East Africa,14° 22.19' S,40° 42.55' E,In port area,1
BRITISH MARINER,9724582.0,Isle of Man (United Kingdom),30948.0,Tanker,2020-01-08,04:00,Malacca Strait,1° 16.20' S,104° 16.15' E,In territorial waters,1
AMIL 12,9367085.0,Palau,1621.0,Supply ship,2020-01-07,07:00,Arabian Sea,21° 23.90' N,72° 17.40' E,In port area,1
Happy Lady,9644225.0,Greece,30201.0,Product tanker,2019-12-30,22:30,West Africa,3° 58.50' N,9° 05.40' E,In territorial waters,1
DROGBA,9724001.0,Singapore,36449.0,Bulk carrier,2019-12-30,01:30,West Africa,3° 46.00' N,6° 43.43' E,In international waters,1
MTM PENANG,9712591.0,Singapore,13122.0,Tanker,2019-12-24,03:30,Indian Ocean,5° 30.10' S,105° 18.29' E,In port area,1
KIM HOCK TUG 9,9767120.0,Singapore,4430.0,Tug,2019-12-22,14:10,Malacca Strait,1° 14.90' N,104° 07.18' E,In territorial waters,1
STENA IMMORTAL,9685475.0,United Kingdom,29666.0,Product tanker,2019-12-24,16:20,Malacca Strait,1° 09.00' N,103° 29.00' E,In territorial waters,1
TRUST STAR,9610236.0,Panama,21699.0,Bulk carrier,2019-12-23,01:54,Malacca Strait,1° 15.72' N,104° 08.33' E,In territorial waters,1
BAMZI,9256468.0,Panama,58088.0,Tanker,2019-12-23,00:12,Malacca Strait,1° 15.51' N,104° 07.80' E,In territorial waters,1
